ticker,reason,delisted_date
BKI,Delisted,2026-02-23
CHX,Delisted,2026-02-23
DICE,Delisted,2026-02-23
GD,Delisted,2026-02-23
LLAP,Delisted,2026-02-23
NATI,Delisted,2026-02-23
NYCB,Delisted,2026-02-23
PACW,Delisted,2026-02-23
SBSW,Delisted,2026-02-23
VTLE,Delisted,2026-02-23
